,IP,mount
868,1.1.3.67,3.3.11.30:/staticLOGS1
868,1.1.3.67,3.3.11.197:/static_Log_VOL3
868,1.1.3.67,3.3.11.197:/static_Log_VOL3/cronbackup
868,1.1.3.67,1.1.132.15:/abcd-analytics1
868,1.1.3.67,1.1.132.15:/abcd-analytics3
868,1.1.3.67,1.1.132.15:/abcd-analytics2
869,1.1.3.68,3.3.11.197:/static_Log_VOL3
869,1.1.3.68,3.3.11.197:/static_Log_VOL3/cronbackup
869,1.1.3.68,3.3.11.30:/staticLOGS1
869,1.1.3.68,1.1.132.15:/abcd-analytics1
869,1.1.3.68,1.1.132.15:/abcd-analytics3
869,1.1.3.68,1.1.132.15:/abcd-analytics2
870,1.1.3.70,3.3.11.197:/static_Log_VOL3/cronbackup
871,1.1.3.71,3.3.11.197:/static_Log_VOL3/cronbackup
872,1.1.3.72,3.3.11.197:/static_Log_VOL3/cronbackup
873,1.1.3.73,3.3.11.197:/static_Log_VOL3/cronbackup
874,1.1.3.74,3.3.11.197:/static_Log_VOL3/cronbackup
875,1.1.3.79,3.3.11.197:/static_Log_VOL3/cronbackup
876,1.1.3.80,3.3.11.197:/static_Log_VOL3/cronbackup
877,1.1.3.81,3.3.11.197:/static_Log_VOL3
877,1.1.3.81,3.3.11.197:/static_Log_VOL3/cronbackup
878,1.1.3.82,3.3.11.197:/static_Log_VOL3
878,1.1.3.82,3.3.11.197:/static_Log_VOL3/cronbackup
879,1.1.3.86,3.3.11.197:/static_Log_VOL3
